isbn,similar_books
0345409469,"0345346297,0452284015,0380810336,0671653989,031286583X,0385294166,0679445226,0345322231,0671690566,0486406466"
0345409639,"0449209121,0515117153,0553298186,0886774039,0312975228,0060931396,078681859X,0886773490,0679728899,0440173507"
0345409663,"0451209850,0448095041,0448095068,0451458443,0671041460,0380690543,096291620X,0448095033,0380645432,0451459407"
0345409671,"034538475X,0345351525,0345422392,0345313860,0345434803,0671521136,0061014788,0345337662,0345422384,0679454497"
0345409876,"0393301583,068482499X,051512768X,0061014788,0345383044,0380010003,0679731199,0140449132,0449200248,0553562835"
0345409973,"0345443381,0451196864,0515130117,0553581503,0451411277,0380795833,0345333578,0812590961,0515106070,1551668114"
0345410017,"1400047714,1573222348,0451206339,0684857340,0380709902,0385502761,1593080255,1572971835,0312156960,0679722319"
034541005X,"3498016709,0330282565,3548256740,0425156028,0345311779,0345374797,0061044539,044021808X,0553240455,0312979649"
0345410092,"0553583476,0345388593,0515137200,1853260401,0061057363,0345371984,0385336314,0451180429,0440236754,0671727583"
0345410998,"3498016709,3764501782,0446613150,3492225926,3462032208,0345374797,0345311779,0449004503,0440122961,0425156028"
034541103X,"0812524802,156138058X,0743420373,0451203933,0380792494,0140252738,0399140832,0140254544,0804105820,0671004107"
0345411471,"3498016709,3803112133,3462032208,0553240455,0151885338,0449147657,0312979649,0449004503,0345311779,0446613150"
034541215X,"0300048599,0345385942,0812508327,0345433106,0515119210,0451192931,0451181395,0140049401,0140124454,0931432146"
0345412214,"0375502548,0345441702,0449147657,031298376X,3764501782,0373028768,0061044539,0425156028,0449004503,0330282565"
0345412885,"1551667495,0553265520,0553231081,0060084456,0515129232,0804117934,0671554506,0449150046,0671640496,0451186346"
0345412923,"0679722068,0385420137,0440215234,0743464672,0743417720,0517576988,0679742581,1573220167,0300046014,0062508342"
0345412966,"031208188X,0553076256,055337933X,0440539811,0679441018,0451452682,0671694049,8495501198,8495501090,8495359537"
0345413350,"0345413369,0451410610,0060192895,0345413377,038549274X,0441005195,0375703675,0812515285,0671015176,0679728449"
0345413369,"0345413350,0345413377,0380521830,0449244172,0553581058,0061001023,0590554093,0393307050,0445408553,0743247752"
0345413377,"0440418321,0345413369,0451410610,044041833X,0375802118,0445408553,0812550757,0374332657,0345413350,0684869233"
0345413865,"0449003302,0446600768,0449003299,044900192X,042511273X,0440106478,0451199650,0380817691,0380726246,0425139522"
0345413873,"0380726246,0449148394,0515106070,0345443381,0515130117,0425137562,0380795833,0553297422,055357227X,051511605X"
0345413881,"0449148394,0671465430,0380817160,0064405788,0671643983,0553289063,0449003302,0060086661,0312928408,044021808X"
034541389X,"0345413903,0345413881,0061056006,0449148394,0765345889,080505104X,0451405498,0449212963,0515117153,0446403342"
0345413903,"034541389X,038081904X,0312287682,0451206002,0440236061,0345413881,0553563521,0061097306,0446403342,055357227X"
0345414462,"0440210178,0345414462,038549128X,1551665166,0312927452,0440482569,0449221148,037570745X,0312854277,0440224640"
0345414942,"0140180923,0425117391,0446321095,0843950315,0345434226,0843949880,0671463195,0843947667,1560761555,0451455509"
0345415000,"0515106070,0345443381,034530358X,1551664976,0515117153,0553297619,1551666081,0380806304,0440173507,0373291396"
0345416260,"0451180208,0380978091,0451407946,0394890485,0060183713,0671731661,0061030201,0553575252,042517428X,0060972009"
0345416880,"0671014633,0671032585,0441005667,0671002384,0141180633,0671568310,0671501070,0671019155,0671794264,0345428692"
0345417062,"0553577239,0671792369,0486284727,0425180727,0553292455,0880387769,0061000078,055327211X,0425170357,0671736795"
0345417186,"3498016709,0312979649,0486424634,031298376X,0330282565,0061044539,0425156028,0345311779,3492225926,0449147657"
0345417623,"0140042326,0515110132,0312971087,0449131904,0515123293,0451196864,0385299095,0446301302,0590447319,0553581503"
0345417941,"0812550943,0425184323,0060530421,0451205448,0375505997,0515129240,0679731156,0747545634,0446350109,0156787334"
0345417976,"0375403736,0425184943,0679776591,0060198125,1573223425,0670825379,0385491115,0385491107,1853262374,0752843303"
0345418018,"0425129632,0140149902,0743421566,0061096644,0330269828,0749399570,0786012374,0425105709,0140184937,0425177181"
0345418263,"1558747478,0671017144,0671792806,0140430032,1400047714,0425119114,0061097497,0312969252,0380731215,0486406482"
0345418778,"0446604143,0345349350,0345391837,0671741438,0786881887,0679729461,0345391829,0345368975,0553213342,0380788314"
0345418794,"0886774691,0879979623,034529873X,0380775832,0440482569,0345339495,0345434692,0812521277,0440472091,0380763389"
0345418824,"0312291655,0064401510,0590996835,0671619683,0142001619,0743203178,0821755943,0553231081,0671733354,0060084456"
0345419081,"048627053X,188712876X,0440440629,1582341400,0060924926,0486270718,0553211021,0743205405,0060924837,0375700293"
0345419995,"0515128651,0373245432,0440961327,0395345308,0064403823,0440409233,0590213113,0316058432,0679737413,0374400164"
0345420438,"0449214362,0345358031,0449219089,0553102346,0671554271,0449217280,0812509145,0553297422,0553577778,0671601172"
0345420748,"3492225926,3462032208,3803112133,0345374797,0151885338,044021808X,0345311779,3498016709,3548256740,031298376X"
0345421221,"0451405919,0804110867,0804112975,0451402502,0380725347,0380720248,0061093920,0679767185,0451197542,0451128559"
0345421620,"059043280X,0446604143,0380645432,0345311779,3498016709,3548256740,3764501782,0446613150,0330282565,0440122961"
0345421949,"0441007910,0451518640,0671708376,0441662536,0441006582,158062524X,0441735762,1560252480,0375506179,0425179672"
0345422317,"0425152235,0505524619,0373262485,0345385942,0671870610,0373217242,0385482493,0345433106,0061092045,3803112133"
0345422384,"0345422392,0345434803,0394755235,0345409671,034538475X,0380718413,0440181275,034531042X,0345351525,0312957572"
0345422392,"0345422384,0345279255,0060548258,0345409671,034531042X,0394800303,034538475X,0671665707,0345296583,0345409329"
0345422406,"0446346829,0394534433,0553250728,0679407111,0671632663,0553266055,0553568779,0449218422,0425070190,0679454497"
0345422473,"0345272552,0743489063,0449223507,0380729865,0394854438,0449000869,0451196864,0843952202,0312963130,0821763415"
0345422511,"0451197011,0671520369,0345329341,0425178773,0449222713,1571454942,1551668920,0821765221,0761121102,0553299476"
034542252X,"0440209358,0394543963,0679428887,034531607X,0553213342,0865470545,0688094082,0449131793,0449212629,0679889310"
0345422538,"0440221862,0440223458,0804115397,0312969120,0812571983,0061097632,0380730367,055310523X,0553575619,0446360325"
0345422554,"0345338715,0345369351,0345363310,0345403959,0345335708,0345335457,0671679805,0345329341,0345335511,0345377591"
0345422589,"0451401492,0880385979,0684849216,0440234972,0345424646,0671679805,0449223450,0345329341,0312857675,0812523016"
0345422783,"0425095576,0449149382,1555910807,0425179605,0373511876,0515134120,0375406328,0767912950,0688180639,0394848365"
0345422805,"0380807203,0345362667,0151962960,1853260320,076790284X,1592865089,0802150616,080411336X,0871138743,0061096083"
0345423038,"0590448315,0590448323,015668568X,0679419829,0812516826,0590213040,0345389409,0345260627,0440505828,0449227847"
0345423097,"0425095576,0671748092,0812583361,0451410610,0553284657,0380723085,0743411358,0373511876,074341134X,0515134120"
0345423135,"0140180923,0515117153,0451405919,0425117391,0060192356,0446321095,0684869241,0440173507,0316785261,0394564324"
0345423291,"0399149368,0060933429,006093090X,0425168697,0380809362,0373290284,0345403339,1573225487,0312187106,0440228433"
0345423399,"034544356X,0345435273,0758205511,0440482569,0373272855,0821772287,0821766392,0821764713,0373765193,0515134449"
0345423402,"0345423429,0553581058,0441005748,0345435273,034544356X,0441001971,0425188361,0441003745,0425181685,0061014788"
0345423429,"0345423402,0515133876,034544356X,0515106070,0345311809,0345443381,0553581058,0380521830,0445408553,0449244172"
0345423496,"0553133969,0345358791,0451452682,0446323268,0553574027,0880387769,0670326372,0451197968,0553290991,0345409329"
0345423615,"0345423631,0425062856,0758205511,0373272855,0821772287,0821764713,0821766392,0373765193,0671836927,0312998368"
0345423631,"0345423615,0758205511,0373272855,0821772287,0821766392,0821764713,0373765193,0312998368,0373218117,0821775472"
0345423879,"0679407111,0553250728,0671632663,0671648705,0517595745,0312982895,0449218422,0425070190,0804108889,0316184152"
0345424603,"0345339495,0345368932,0812510992,0345369335,0886773490,0886774039,0345362861,034529873X,0886775426,0345336038"
0345424646,"0345435257,0380759500,0345279255,0812521145,0380751453,0425094731,0671679805,0345329341,0345313097,0812563190"
0345424719,"034536743X,0375403736,0425129632,0670825379,0751501999,0345389964,0446313033,1573228281,0679730346,068484270X"
0345424816,"0345434765,0812540123,038081191X,0380769344,0312958919,0061013420,0553565095,0399144331,0671751506,0425161994"
0345425294,"0312264127,044922788X,0380792478,0449227944,0590568817,0449227847,0553293915,0449206475,0553569031,0399137734"
0345425308,"042516246X,0671648136,0060548258,0446360074,0689714920,0671015176,0312965788,0345422406,0394809378,0394534433"
0345425502,"0140109595,052594558X,031242258X,1573222305,0425127931,0140431268,0140280243,1577311523,0385336322,0446522252"
0345425588,"0821764527,0553290533,0440241111,0060530421,0684196387,0440402832,1551668637,0440183057,0515124524,0446605581"
0345425707,"0679739793,0440206529,3803112133,3492225926,0553578936,0345311779,0345374797,0449004503,0449147657,0446613150"
0345426037,"0380703890,0440226139,0060178221,0449243346,1558533311,0671016792,0425169685,0425097250,067166641X,0060008873"
0345426258,"0312289871,044651506X,0060192119,0330267388,0446364800,0425155722,0553287737,0684863472,0679429220,0440214041"
0345426274,"0515130117,0394551540,0380795833,0345311779,3803112133,3498016709,0345374797,0061044539,3462032208,0486424634"
0345426606,"0743223527,0140043128,0679741836,0066213673,0679457143,1573220183,0385499833,0786864133,0743411447,0312313829"
0345427025,"0449149382,0446674931,0671892673,0385720483,0060972009,0679767959,0393319504,0767902831,0156007819,0425183238"
034542705X,"3764501782,3803112133,0486424634,044021808X,0345374797,0061044539,0373028768,3492225926,0553240455,0151885338"
0345427637,"0446524999,0451401492,0553572997,0743418220,0380703890,0553111531,0394701577,0684873893,0440234972,0671026682"
0345427653,"0345428811,0671707957,0590108417,0345434684,0688059147,0425048543,0590108395,0385314124,0449704378,0061053538"
0345428064,"1551669005,0140012133,1551669188,1551669161,0451203933,0440207835,0553346687,1551669382,0061092193,0440234859"
0345428196,"0743489063,0312926057,0394854438,1551665778,0451196864,0843952202,0821763415,0446604682,0449220710,055357874X"
0345428285,"0345384733,3498016709,3764501782,0061044539,3462032208,3492225926,3803112133,044021808X,0449147657,0345311779"
0345428307,"068815090X,0786889837,0373262485,0152025057,0786890169,0345428285,0451206401,0345385942,0451193261,0345404785"
0345428455,"0345428544,0345409329,0345428560,055357275X,0553571745,0385497296,0553298046,0451458559,0425149625,0451190955"
0345428544,"0345428560,0345428455,0553298054,055357275X,0345409329,0553568728,0553578944,0553571745,0307020223,0553298046"
0345428560,"0345428544,0345428455,055357275X,0345409329,0553571745,0440925592,0448089017,0385497296,0452283825,0448089033"
0345428692,"0671014633,0671032585,0671032550,0553298046,0671002384,055357275X,0671013963,0671568310,0553571745,0671501070"
0345428811,"0590108417,0345427653,0590108395,0385497296,0449704378,0345428455,0345390407,0786861592,0345388232,0670843342"
0345428919,"0373288980,0440214432,0553801821,0553573225,039914112X,0312925581,0446523089,0440235421,0373872232,1576734781"
0345430514,"0671731661,0061030201,042517428X,0553575252,0394575741,0553287397,0380791021,1551668807,0446602566,0312982208"
0345430573,"0446323268,0812590449,0061099473,0553565370,038080722X,0553571737,0440209862,0679401385,0312979398,0380762978"
0345430581,"0446353728,0140431209,0312287682,0425104060,0380787067,0786889349,0380778785,0679873937,0312979584,0340792655"
034543076X,"0345430786,3764501782,3492225926,3803112133,0449147657,0425156028,0553240455,0330282565,3498016709,0446613150"
0345430786,"034543076X,0192815989,0812524586,0345430808,0553295098,0765345005,0345428455,0192860925,0812571290,0312205503"
0345430808,"0061020052,034543076X,0345430786,0192815989,0812524586,0553295098,0765345005,0192860925,0812571290,0441009425"
0345431057,"0156907380,0449215245,0394502949,0060176083,0452274664,0679736727,1884822282,0684857340,039458872X,0812504798"
0345432401,"0440472415,0449215245,0679736727,0380898179,0380713284,0060172126,080410946X,0345390458,0312974922,0345312015"
034543241X,"0679407111,0553250728,0671632663,0671795937,0449218422,0425070190,0316184152,193072229X,006109692X,0553136283"
0345432479,"3596154049,0345296532,3404142942,0425099148,3492225926,3764501782,0553240455,0373028768,031298376X,0449004503"
0345433017,"0060900075,0933944047,0060569662,0345400577,0440984459,0553213296,0689714866,0345294459,0452281768,3822860867"
0345433084,"0380818965,0553584219,0345464982,0312977301,0399147330,0505524848,0425195244,0449004864,1551666588,0843952083"
0345433106,"0345385942,0451192931,0451181395,0061043966,0451202252,0373262485,1573228184,0451182960,0451197542,0380977729"
0345433165,"0525938532,0786866195,0517594994,0399144048,0525937676,0440224748,0316890642,039913879X,0804105278,0385334702"
0345433173,"0877958416,0553136283,0804107386,0345442741,0517605171,0380732149,0451176820,0965605914,0451132343,0375726012"
0345433262,"048629899X,0060012897,0312246560,0375407340,0804113831,0425124819,0486280551,068815333X,0020545509,0804112835"
0345433319,"0743205820,0743216342,0786014237,0312977301,0449004864,0399147330,0060529466,0345464982,1551666588,0843952083"
0345433327,"0385335180,1401301231,0743235053,1551666588,0060529466,0843952083,0399147330,0505524848,0743419162,0425195244"
0345433491,"0684856077,3548256740,0373028768,0061044539,0449147657,3462032208,044021808X,0446613150,0449004503,3492225926"
0345433785,"0812511069,0446362921,0140003185,0345422392,0671704184,0486270610,0747541604,0061031844,0452285186,0345409671"
0345434110,"0553577565,0671721631,0440235758,0425130258,0440235715,0312970072,0425067858,0553371835,0140430040,0345320239"
0345434226,"0140180923,0425117391,0446321095,0843950315,0843949880,0671463195,0843947667,1560761555,0451455509,0425096343"
0345434250,"0553577565,0671721631,0440235758,0440235715,0812571118,0307010856,0060099089,0878575103,0671721720,0553565214"
0345434471,"0786865644,0385504268,0553565095,0449244172,0380521830,0345435648,0451194586,0060194448,0399138161,0743247752"
034543448X,"0446524999,0812579011,0394701577,0684873893,0060185074,0767901592,0375410287,0440148138,0156000024,0671738283"
0345434498,"0440226457,0786889616,0425173097,0373708122,0553562703,0671795937,0439510112,1401300596,0375421815,0764222511"
0345434676,"0553577565,0671721631,0440235758,0440235715,0061056383,0380769549,044100007X,0345388232,0345384911,0060099089"
0345434684,"1568650108,0553577565,0441662536,0671721631,0671697994,0440235758,0671876465,0440235715,0441006582,0312854277"
0345434692,"0345368932,0380789876,0345368991,0380775832,0345362861,0812521277,0345418794,0380763389,0061056383,0671014633"
0345434765,"0061013420,0553565095,0345424816,0449000877,0440235391,0451185110,0440225450,0061090808,0553275852,0451210158"
0345434773,"0060924640,0441009425,0380758377,0060193751,0679450041,0380708566,0452279593,0684850265,0385319444,0671686151"
0345434781,"0380790033,0440213355,0201517205,0812577701,0671799312,0380790025,0743411943,0553299476,0670894508,0345422511"
034543479X,"0765345889,0425129632,0142001325,0440204739,0553138286,0345345738,0446301302,0451161394,0767906543,0380599317"
0345434803,"0345422384,0345409671,0380755157,0345296532,0345422392,0440215757,0345337662,034538475X,0886777402,0345313860"
0345434811,"0671541749,0743235355,044100007X,0886774144,0671864769,0451204050,0679437851,0886778905,0312979398,0553580337"
0345434870,"0140280243,0385495439,0140109595,0590409433,0393000567,0345370139,044991089X,0061015628,0312968973,0671047507"
0345435028,"0451410610,0451208617,0312423772,0590460463,0590460994,0140179518,0865470545,0060927941,0007154615,0449911683"
0345435036,"0425104273,0786013567,0671520350,0345348672,0786889306,0515131520,0886775957,0886775426,0440218667,0886773741"
0345435168,"0380723085,0425179605,0671008978,0060183713,0812514300,1551663058,0425095576,0446607401,0312187106,0440229707"
0345435249,"0312974485,3803112133,3492225926,3498016709,3462032208,0151885338,0449147657,0449004503,0486424634,0446613150"
0345435257,"0345424646,0140048898,0590453688,0553565699,050552533X,067151914X,0345450698,0553573411,0679445358,0590477404"
0345435273,"0425181685,0425188361,034544356X,0345423399,0821775472,0821772287,0451458559,0515135305,0821769286,0373710208"
0345435648,"0380521830,0449244172,0743247752,0345365208,0684813076,055357924X,0385336667,0385504268,0375508546,0440237033"
0345435796,"3492225926,3548256740,0151885338,3498016709,3462032208,0425156028,0553578936,0061044539,0446613150,0449147657"
0345436121,"0451128559,0671750127,1551664364,0804110867,0804112975,0451402502,0380725347,0312951647,1551667967,0446613150"
0345436911,"044900192X,0140259198,0345333578,0060925493,0399146040,0743489063,0002251760,038080719X,0688167810,0743431006"
034543739X,"3764501782,0061044539,0312979649,0330282565,3462032208,0425156028,0345311779,3803112133,0446613150,0553578936"
0345437829,"0590448226,0446400394,0671556657,0060965819,0445408642,0671887963,067976268X,0380720132,1853260800,0590440675"
0345438329,"0345445848,0671016792,0060540753,042510429X,0849937809,0345462807,0449908747,068810312X,1578565235,0380679914"
0345438825,"0345447832,0671000853,0553581716,0670894699,0380819171,0671726528,0778320197,0671742566,0312010583,0671525751"
0345439104,"0679776362,0060931280,059043344X,0316899984,0440222877,1550810510,034539044X,0316601950,0316780812,0345385942"
0345439112,"0786016124,038049163X,0590474804,0679450041,0394717406,0061012882,0679416730,0804119740,0394550846,0312179405"
0345439244,"1551664364,3492225926,3462032208,3803112133,0061044539,0373028768,0425156028,3498016709,044021808X,0440122961"
0345440021,"0449005895,0449005925,0425192741,0140097112,0446606944,0679431977,0451523555,0449006565,0140366679,0758203381"
034544003X,"0440237033,1575668793,0345456521,0066214718,0892967803,0786865644,0553582259,0451206835,0060529466,0380818965"
0345440048,"0671465430,0671643983,0312928408,0312979649,031298376X,0553578936,044021808X,0440122961,0449004503,0553240455"
0345440064,"0451405919,0449005925,1558746587,0743489063,0380720248,0061093920,1551667894,0394854438,0446606944,0451196864"
0345440137,"0345442741,0446529001,0452279488,0060176075,0449215946,0380725576,1565124057,0156907380,0399149368,037541388X"
0345440145,"0060165987,0380730219,0439135508,0886779227,0399140557,1931686408,0740718770,0060394447,1592980414,0345426606"
0345440404,"0671731661,042517428X,0553575252,0373790295,0061030201,0515136298,0743456181,0394575741,0553575015,0553287397"
0345440633,"0515128651,0373245432,038080736X,0380713608,0743456351,0312867875,0345419995,0446611727,0380820560,0743442660"
0345440765,"0312282702,0226743497,0140131566,0449215245,0871139006,0679736727,0345360354,0140144595,0679759328,0140275428"
0345440781,"0441484999,0679441891,0345350480,0451180224,0446323861,0440227704,044155279X,0441552765,0425099229,0886777313"
0345440951,"0590629816,0451526015,0843949074,0553572733,0671792806,055357325X,0843948302,0441132456,0140250913,0671727095"
0345441036,"0679407111,0345279255,0671632663,0553250728,0449218422,0425070190,0451821114,0451213599,0670691992,0684849046"
0345441133,"0451196864,0553581503,0764222511,0821771175,0345333578,0394551540,1551668114,0679739793,3498016709,0312979649"
0345441265,"0345403339,0446529001,0345272552,0425095576,0345442741,0743411323,0452279488,0060176075,0380809362,074341134X"
0345441435,"0553266055,0671021346,0312950675,0451527712,0441005667,0345319656,0441004385,0441132456,0451191722,0812566645"
0345441702,"3498016709,3548256740,3764501782,3803112133,0061044539,031298376X,0312979649,0553240455,3492225926,0425156028"
034544177X,"080213422X,0684853949,0671492276,1569470154,1582342849,0440330076,0451191722,0316779490,0142000361,0439049989"
0345441788,"0312926294,0451204344,0553561278,0618126988,0449003302,0380726246,0451208188,0451203054,0553295608,0394758374"
034544227X,"0440234719,0060507365,1551665964,0451410912,0312287682,044021808X,0373028768,0425156028,0446613150,0449004503"
0345442741,"0446529001,0452279488,0060176075,0877958416,0449215946,1565124057,0380725576,0553136283,0804107386,0345440137"
0345442768,"0312984618,0843951958,0843949783,0446360716,0871139081,0385509529,0517593335,0446516562,0671567713,0375507876"
0345442822,"0743222253,0380807203,1551663058,0440229707,0345362667,0425184285,0765345889,0345319672,0380811812,0151002630"
0345443020,"055321246X,0451450957,0345457684,055334949X,0446602736,0821772953,0375712925,0452282977,0590484753,0060921056"
0345443128,"0446608114,0425095576,0590251597,0345409051,0446613150,0345374797,0553578936,0061044539,0440122961,0486424634"
034544325X,"0439104661,0671727109,0671727095,030712908X,059047071X,0425161021,0425150976,0440784743,0743457544,051720679X"
0345443284,"0679776362,0380723085,1551663058,0140244824,038072099X,0804109826,0373290284,0440210178,048629899X,0316038172"
0345443381,"0515106070,034530358X,1551664976,0553297619,1551666081,0380806304,0373291396,0451179153,0061013145,0451192508"
034544356X,"0312998368,0821775472,0821772287,0451458559,0345435273,0821769286,0671036556,0505524686,0758204175,0373790694"
0345443683,"0684849046,0425180468,0670326372,1579122175,0671047485,0553581058,0553130285,0553270931,0786860987,0140324623"
0345444388,"0380818965,0505524848,0345464982,0425195244,0505525224,0312977301,0449004864,0060529466,0553584219,0743419162"
0345444884,"0843950315,0812521277,0312980191,0446608114,0670032549,0451125452,0061056871,0590222961,0671680080,0061054437"
0345444892,"0786889152,0553100017,089296765X,0312146310,0525947752,0553800973,0399149422,0553802526,0804119120,0140196013"
0345445724,"0425095576,0971766711,0843948574,1551667290,0446691321,0618154442,0849937809,0743419162,0060529466,0449004864"
0345445732,"0451207009,0425183238,0812517164,0375507876,0451410157,0446311774,0385335210,1570613818,0812590252,0684869403"
0345445848,"0525945652,0425187144,0345438329,0373290284,0345385942,0373262485,0345369114,0060199563,0140178414,0553295691"
0345445856,"0425161951,0451147715,0425163997,0425164357,0449223442,0440225078,0312989431,0380817187,0425116018,0786890444"
0345446666,"0440211921,0380790025,0380726653,0380569523,0812590449,0061099473,0449207463,042511872X,0394580702,0380790033"
0345446860,"0590448188,0312961308,0765307154,055357874X,0451191706,0060198125,0445408642,0446518859,0451194586,0451525140"
0345447409,"155166741X,1551668785,0778320200,1551666596,1551665042,0743428706,0345463927,0451410971,0743419162,0449004864"
0345447832,"0380819171,0446613665,0060514957,0671525751,0345438825,0312310439,0764226312,0553802380,0671034014,0505525062"
0345447840,"037322687X,0553571850,0440222028,0375414290,0553240455,0486424634,044021808X,0446613150,0312979649,0553578936"
0345447859,"0380725347,0451402502,0804110867,0804112975,0671742566,0385501404,0553571591,0515129224,0451128559,0312252943"
0345447867,"0590997343,0425062856,059049418X,0590440616,0590629824,0590997262,0590494236,0812550765,089375403X,0893756083"
0345447980,"0345300556,0964060515,0486280616,0449214540,0451151224,0842332308,0553286285,0586071105,0440102901,0934211477"
0345448820,"0618246967,0786011890,0061092738,044990864X,0671695185,0380978954,0060176164,0061031011,0679445102,0140282777"
0345449347,"0671722565,0140314202,0060809736,0394744187,3492225926,3498016709,3803112133,0312979649,044021808X,0373028768"
0345449835,"0446314722,0385336403,0451523024,0394755111,0446525243,0684873893,0874778883,0684869403,020530902X,0684848155"
0345450051,"0515106070,0345443381,034530358X,1551664976,0553297619,1551666081,0380806304,0373291396,0451179153,0061013145"
0345450175,"0505525224,0312977301,0505524848,0553584219,0380818965,1551666588,0060529466,0425195244,0345464982,0743419162"
0345450698,"0553293605,0380781441,0449215245,0679736727,0345435257,0140048898,0590453688,0345312015,0060959355,050552533X"
0345450728,"0061008109,0425050017,0312926057,0671556657,044020254X,0553253360,1551665778,0553142003,0553561367,0671799312"
0345450736,"1551667312,0778320510,0399149384,0743464737,0312307020,0505524848,0425195244,1551666588,0743419162,0449004864"
0345450884,"0375415475,0671643983,0688167810,0440222680,0671869094,0312963211,1582432678,0440156998,0671795678,0451163532"
0345450892,"0451205448,037541388X,0446529001,0140179518,0525947302,1573223425,014018869X,0865470545,0743454510,0060086386"
0345450914,"0515117153,0446529001,0440222680,1582432678,0440173507,067972267X,0385335555,0440222702,0373262361,0375415475"
034545104X,"0440236770,0440160677,0449004864,1551666588,0843952083,0312977301,0505524848,0060529466,0553584219,0425195244"
0345451260,"0688065708,0688065716,1565121570,0670891568,034068948X,0312252943,0688084893,0684850303,052594558X,080213825X"
0345451902,"0440204925,0380728273,0439104661,3498016709,0440122961,0425156028,3803112133,3462032208,0446613150,0061044539"
0345452003,"0425098729,0140176640,3764501782,3498016709,3462032208,0449004503,0373028768,0446613150,0486424634,0449147657"
0345452062,"0451526996,0394502949,0375505148,0345331354,0449209733,0385265565,0440117658,0060008776,0786886323,0451210220"
0345452534,"034544003X,0440237033,0786867248,0743205820,1575668793,0345456521,0892967803,0066214718,0399148817,0670030457"
0345452550,"0345452577,0345452593,0316154059,0670030457,0671465430,0066214769,0399150749,1400042070,0671643983,3498016709"
0345452569,"0440240751,0451178017,0886773318,0140366016,0449243346,1558533311,006017773X,0060808934,0451183843,0060011912"
0345452577,"0345452593,0060514957,0440237033,0385336454,039915180X,0345452550,0446531316,0399151397,1575668793,0553803409"
0345452593,"0345452577,039915180X,0345452550,0525947752,031226772X,0515110752,0380521830,0449244172,0399151397,0316154059"
0345452704,"1551667312,1551669552,0440237033,0380819619,0778320510,0399149384,1575668793,1551668858,0743464737,0345456521"
0345452771,"0066213673,0385499833,0312313829,0892967803,0876451121,0670031054,0399151397,0156027135,0553210114,044900192X"
0345453387,"0312187106,0373250207,0373250142,0385335210,0448089033,3548256740,031298376X,0151885338,0330282565,0345374797"
0345453409,"1551666677,0451199650,0671799371,0060527048,0446605050,155166741X,0451410904,0671556843,1558747966,0060923288"
0345453417,"0312319142,0380795558,1551667312,0425192768,0399152288,0778320510,0743446291,0399149384,0373218737,0743464737"
0345453425,"0440222702,0449244172,0380521830,0312926057,0380777150,1551665778,0440220440,0440222680,0440220459,1582432678"
0345453549,"0553250728,0671632663,0679407111,0765345889,0449218422,0425070190,0316184152,193072229X,006109692X,0553136283"
0345453743,"0064405788,0441007732,0385495404,0060086661,0553289063,0140184937,0312310064,0671020641,0440122961,0449004503"
0345453808,"0821771477,0312982208,0380820897,051509160X,0671034014,0671775499,0380818647,0380791021,0515084891,0380819171"
0345453816,"0515119482,1551664968,0671739786,0061030201,042517428X,0553575252,0671731661,0380761327,0671735934,0553571842"
0345454073,"0449001954,3498016709,3764501782,3548256740,3492225926,3803112133,0553240455,0373028768,0449004503,0151885338"
0345455207,"0399150803,0684850265,0425195457,0786861827,0618219153,0553348477,0934211477,1573229083,0515133701,0684850273"
0345455622,"0425195244,0505525224,0843952083,0312977301,0399147330,0345464982,0060529466,0449004864,0505524848,1551666588"
0345456521,"0440237033,1575668793,0066214718,0892967803,0312977301,0060529466,0505524848,0553584219,0425195244,0449004864"
0345456939,"1551665964,0449004856,0843944765,0060009241,0553142607,0060502177,0380802600,0671521446,0894803123,1558533311"
0345457374,"0449144410,0345341201,031215125X,0393319504,0192827618,0375508546,0312929587,067975833X,0375507507,0345321200"
0345457641,"006053821X,1853261912,0505524848,0060529466,0425195244,0380818965,0553584219,0505525224,0449004864,1551666588"
0345457684,"0399147330,0312977301,0060529466,0380818965,0505524848,0345464982,1551666588,0425195244,0505525224,0743419162"
0345458303,"0871139081,0679766626,0152025057,039458872X,0451206401,0399150749,1594480001,0743226356,0060195827,078688262X"
0345458915,"0892967811,0399150560,0316154601,0399150854,0743249372,0743446291,0451128559,0671750127,0553802461,074320607X"
0345459202,"0525945652,0425161951,0449147738,0553256920,0385333757,0440164842,1551669099,0061041998,0452281849,0684850273"
0345459407,"0451410351,0345282159,0312979584,0380788683,0380791382,038081403X,0553581716,0804105995,0786889179,0886775876"
0345460359,"0345394690,0679429883,0812516001,0553240455,0449147657,3803112133,3498016709,0312979649,0373028768,0151885338"
0345460693,"0425062856,0425097250,0060008873,0451171845,0671721542,0671635743,0345272463,0451454081,0553240307,0671836927"
0345460952,"0140244883,0380730375,0445409029,042518627X,0446610879,0446400807,0553568736,0394758277,038081658X,0375709150"
0345461967,"0345279255,0505524805,0345387813,0671046160,0345387791,0345387805,0849938635,0380017555,1401301231,0345257189"
0345461983,"0743419162,0345464982,0312977301,0380818965,0843952083,1551666588,0553584219,0399147330,0505524848,0505525224"
0345462270,"080411952X,0821775472,0821772287,0758205511,0804119716,0821769286,0843950498,044900256X,0758204175,0373765193"
0345462807,"0060928360,0743201647,0140230270,157322930X,0743431014,0786890444,0451410947,0743418719,0062517864,0743418204"
0345463153,"0451192613,0553297619,0786867655,0812532236,0553262564,0425185702,0449206459,0684867486,0451186281,0671704648"
