user_id,location,age,age_group,cluster_id,collaborative_cluster_recommendation,demographic_recommendation,geographic_recommendation
3373,"elk grove, california, usa",30.0,Young Adult,0,"['006018552X', '0060185708', '0060193611', '0060198303', '0060256672', '0060508302', '0060531231', '0060801263', '0060809248', '006092411X']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['006016848X', '0061015725', '0316603287', '0316666343', '0345459202', '038076654X', '0446606812', '0446613843', '0449147738', '0449148378']"
3374,"ajax, ontario, canada",47.0,Middle-aged,3,"['0020427859', '0020518706', '0060007788', '0060198702', '0060263857', '0060578955', '0060675187', '006091646X', '0060917016', '0060925000']","['0971880107', '0316666343', '0385504209', '0142001740', '0671027360', '0060928336', '0786868716', '0440214041', '0312195516', '0446672211']","['0345384466', '0345404114', '0671034006', '0373834284', '0440221315', '0440224853', '0515130044', '0515130095', '0671795554', '0886775981']"
3416,"aachen, nordrhein-westfalen, germany",34.0,Young Adult,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['0434009407', '2070388905', '3379015180', '3442424623', '3442722497', '0425153975', '0451190750', '0451197879', '0060086246', '0515116173']"
3418,"san diego, california, usa",14.0,Teenager,27,"['0002251760', '0020868308', '0060008024', '006001203X', '0060199652', '0060254920', '0060256737', '0060263857', '0060511508', '006056668X']","['0971880107', '059035342X', '043935806X', '0439136369', '0439064872', '0439139597', '0446310786', '0439064864', '0439136350', '0446608955']","['0446523569', '0446671002', '0786868716', '0020518706', '002542730X', '0060809833', '0060914653', '0061097667', '0064401510', '0140282033']"
3427,"eldorado, illinois, usa",50.0,Middle-aged,3,"['0020427859', '0020518706', '0060007788', '0060198702', '0060263857', '0060578955', '0060675187', '006091646X', '0060917016', '0060925000']","['0971880107', '0316666343', '0385504209', '0142001740', '0671027360', '0060928336', '0786868716', '0440214041', '0312195516', '0446672211']","['0452278902', '039914465X', '074343627X', '0553582747', '067102423X', '1558747699']"
3437,"honolulu, hawaii, usa",103.0,Senior,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0385504209', '0316666343', '044023722X', '0671027360', '0440234743', '0446607657', '0385510438', '1400031354', '1400034779']","['0394900014', '0044409494', '0060097469', '0060256672', '0060256737', '0060973277', '0064472272', '0140088393', '014023828X', '0140268863']"
3462,"amherst, new york, usa",,Unknown,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0316316962', '0679774025', '0679729798', '0805056637', '0140390227', '0449213943', '0060391782', '0060809833', '0553109944', '0553282700']"
3471,"victoria, british columbia, canada",,Unknown,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['156341029X', '0062502182', '0066238501', '014004387X', '0140094385', '014044100X', '0312243022', '0312966555', '0345314255', '0345413369']"
3481,"littleton, colorado, usa",49.0,Middle-aged,10,"['0020449313', '0060256737', '0060294671', '0060391839', '0060921056', '0060976977', '0061053716', '0061097667', '0062508113', '0064400085']","['0971880107', '0316666343', '0385504209', '0142001740', '0671027360', '0060928336', '0786868716', '0440214041', '0312195516', '0446672211']","['0312140908', '044023722X', '0446523569', '0446675059', '059035342X', '0684874350', '0670031909', '0670032379', '0679723161', '0375400117']"
3508,"edinburgh, scotland, united kingdom",46.0,Middle-aged,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0142001740', '0671027360', '0060928336', '0786868716', '0440214041', '0312195516', '0446672211']","['0192833596', '0140620206', '0450588866', '0688177743', '1857022424', '0099272687', '0330294911', '0553573616', '0743233468', '0752848224']"
3537,"seattle, washington, usa",,Unknown,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0345423402', '0020199600', '0060175966', '0060921056', '006092988X', '0064440508', '0064462080', '0140049975', '0140089225', '014044100X']"
3538,"madrid, madrid, spain",31.0,Young Adult,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['0345368754', '0679435204', '0765342294', '1853262390', '006098726X', '0140386335', '0312979479', '0316666343', '0375707972', '0380012863']"
3542,"jersey city, new jersey, usa",,Unknown,25,"['0020442203', '0020532105', '0060508302', '0060932171', '0060953020', '0060976241', '0060977477', '0060989238', '0061057649', '0061094595']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0142001805', '0373218036', '0385504209', '0399149325', '0399149392', '0399149848', '0446527793', '0553250531', '0553280945', '0609610597']"
3556,"bismarck, north dakota, usa",68.0,Senior,20,"['0006550576', '0020418809', '0044409494', '0060002077', '0060012897', '006001315X', '0060391480', '0060514949', '0060525460', '0060549270']","['0971880107', '0385504209', '0316666343', '044023722X', '0671027360', '0440234743', '0446607657', '0385510438', '1400031354', '1400034779']","['0064401324', '0064403319', '0141312424', '038531292X', '0385504209', '0439064864', '0439136350', '0440439884', '044651652X', '0590629778']"
3569,"n/a, n/a, usa",,Unknown,3,"['0020427859', '0020518706', '0060007788', '0060198702', '0060263857', '0060578955', '0060675187', '006091646X', '0060917016', '0060925000']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0060953020', '014016930X', '0140177396', '0140185011', '0375703632', '0425156842', '081120068X', '0922066728', '0312265859', '038542471X']"
3578,"halifax, nova scotia, canada",25.0,Young Adult,10,"['0020449313', '0060256737', '0060294671', '0060391839', '0060921056', '0060976977', '0061053716', '0061097667', '0062508113', '0064400085']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['0061031011', '0441003257', '0452279623', '0618002227', '0140119906', '0142001740', '0312278586', '0345339711', '0345339738', '0345391810']"
3594,"auckland, n/a, new zealand",48.0,Middle-aged,3,"['0020427859', '0020518706', '0060007788', '0060198702', '0060263857', '0060578955', '0060675187', '006091646X', '0060917016', '0060925000']","['0971880107', '0316666343', '0385504209', '0142001740', '0671027360', '0060928336', '0786868716', '0440214041', '0312195516', '0446672211']","['0140176616', '0140274154', '0349107688', '0552133256', '0375704027', '0380725835', '0440208459', '0876850867', '0060529709', '0449208672']"
3640,"sacramento, california, usa",,Unknown,0,"['006018552X', '0060185708', '0060193611', '0060198303', '0060256672', '0060508302', '0060531231', '0060801263', '0060809248', '006092411X']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0060973277', '0061020680', '0061020699', '0061056928', '0061092193', '0140296409', '0316929190', '0345425294', '0345465083', '0375757147']"
3643,"robbinsdale, minnesota, usa",,Unknown,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0743407075', '1573228281', '0345433106', '0345443020', '0380731851', '0380789035', '0394758285', '0399146164', '0440214432', '0440225779']"
3669,"williamsburg, massachusetts, usa",34.0,Young Adult,0,"['006018552X', '0060185708', '0060193611', '0060198303', '0060256672', '0060508302', '0060531231', '0060801263', '0060809248', '006092411X']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['0446672211', '0553560247']"
3675,"barcelona, catalunya, spain",24.0,Young Adult,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['0156027321', '0060927216', '0142001740', '0312202318', '0312241224', '0312422156', '0451169514', '0618002227', '0618002235', '0618002243']"
3693,"hampton, virginia, usa",23.0,Young Adult,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['0385264666', '038549081X', '0446364193', '0446377651', '1573247022', '0385484518', '0440213525', '0440222656', '0553252828', '0671026356']"
3719,"eielson afb, alaska, usa",18.0,Teenager,3,"['0020427859', '0020518706', '0060007788', '0060198702', '0060263857', '0060578955', '0060675187', '006091646X', '0060917016', '0060925000']","['0971880107', '059035342X', '043935806X', '0439136369', '0439064872', '0439139597', '0446310786', '0439064864', '0439136350', '0446608955']","['0449219410', '0345384369', '0446609781', '0451124383', '0451408888', '0679454446', '0345294459', '051512608X', '0515127221', '0671524968']"
3728,"pembroke pines, florida, usa",40.0,Middle-aged,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0142001740', '0671027360', '0060928336', '0786868716', '0440214041', '0312195516', '0446672211']","['0399147101', '0553574671', '0395926882', '0060008776', '0399149775', '0385479565', '052594527X']"
3743,"roma, lazio, italy",29.0,Young Adult,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['0385504209', '0571200435', '0802130208', '1853260088', '0142002399', '0316096199', '0811802981', '1400034779', '1853260010', '0140233903']"
3757,"madrid, madrid, spain",,Unknown,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0345368754', '0679435204', '0765342294', '1853262390', '006098726X', '0140386335', '0312979479', '0316666343', '0375707972', '0380012863']"
3761,"san diego, california, usa",,Unknown,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0446523569', '0446671002', '0786868716', '0020518706', '002542730X', '0060809833', '0060914653', '0061097667', '0064401510', '0140282033']"
3775,"port angeles, washington, usa",57.0,Senior,3,"['0020427859', '0020518706', '0060007788', '0060198702', '0060263857', '0060578955', '0060675187', '006091646X', '0060917016', '0060925000']","['0971880107', '0385504209', '0316666343', '044023722X', '0671027360', '0440234743', '0446607657', '0385510438', '1400031354', '1400034779']","['055337933X', '0140195831', '0345346491', '0451519841', '1400034779', '0312950489', '0312983271', '0312983298', '0312983301', '0449223043']"
3814,"langhorne, pennsylvania, usa",,Unknown,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0886773784', '0439139600', '0345314255', '0375703861', '0684829975', '0812566637', '0060391448', '1573225789', '0156011042', '038072345X']"
3817,"columbia, south carolina, usa",29.0,Young Adult,0,"['006018552X', '0060185708', '0060193611', '0060198303', '0060256672', '0060508302', '0060531231', '0060801263', '0060809248', '006092411X']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['0140185216', '0312978332', '0312979479', '0345339711', '0399152288', '0440967694', '0446605484', '0515135739', '0670032069', '067976402X']"
3827,"orlando, florida, usa",23.0,Young Adult,2,"['0044409494', '0060199652', '0060248025', '0060256656', '0060263857', '0060504072', '0060558121', '0060931809', '0060934719', '0061093084']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['0060392991', '0060504072', '0060959037', '0064472264', '0064472272', '0066236568', '0140132708', '0140282033', '0141301058', '0307001164']"
3840,"meriden, connecticut, usa",46.0,Middle-aged,3,"['0020427859', '0020518706', '0060007788', '0060198702', '0060263857', '0060578955', '0060675187', '006091646X', '0060917016', '0060925000']","['0971880107', '0316666343', '0385504209', '0142001740', '0671027360', '0060928336', '0786868716', '0440214041', '0312195516', '0446672211']","['0345423291', '0345445732', '0425183238', '193156146X', '0440226104', '0451410157', '051513287X', '0553576046', '1570613818', '0373245319']"
3856,"auckland, n/a, new zealand",,Unknown,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0140176616', '0140274154', '0349107688', '0552133256', '0375704027', '0380725835', '0440208459', '0876850867', '0060529709', '0449208672']"
3881,"ottawa, ontario, canada",34.0,Young Adult,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['0394561619', '0440212561', '0440217563', '0684859300', '0062502182', '0060085452', '0060192704', '0060193395', '0060987561', '0061053309']"
3915,"basel, basel-stadt, switzerland",,Unknown,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0316666343', '0887307876', '2226135022', '3458171703', '3499222507', '3596150981', '3746614007', '0385314280', '0440505003', '0452282152']"
3917,"toronto, ontario, canada",25.0,Young Adult,10,"['0020449313', '0060256737', '0060294671', '0060391839', '0060921056', '0060976977', '0061053716', '0061097667', '0062508113', '0064400085']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['0140042393', '0394820371', '0679763309', '068484267X', '0020532105', '0060008873', '0060139145', '0060256672', '0060953020', '0061008109']"
3923,"vienna, ,",,Unknown,6,"['0007154615', '0044409494', '0060097469', '0060256672', '0060256737', '0060392991', '0060652934', '0060809248', '0060922249', '0060927240']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0425163415', '0449206211', '0553580531', '0671001809', '0671742760', '0312978367', '0380731797', '0425185710', '0449219399', '055320663X']"
3954,"detroit, michigan, usa",24.0,Young Adult,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['0060919655', '0061097357', '0062505319', '014011369X', '0156005778', '015694877X', '0312195516', '0345361792', '0375726403', '0385336489']"
3965,"st. peters, missouri, usa",,Unknown,3,"['0020427859', '0020518706', '0060007788', '0060198702', '0060263857', '0060578955', '0060675187', '006091646X', '0060917016', '0060925000']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0440173922', '0440193613', '0440213282', '0440217466', '0449911357', '0590448307', '0345391055', '0425124347', '0440214114', '0553579754']"
3977,"columbiana, alabama, usa",63.0,Senior,3,"['0020427859', '0020518706', '0060007788', '0060198702', '0060263857', '0060578955', '0060675187', '006091646X', '0060917016', '0060925000']","['0971880107', '0385504209', '0316666343', '044023722X', '0671027360', '0440234743', '0446607657', '0385510438', '1400031354', '1400034779']","['0060928336', '0061097640', '0316601950', '0345388771', '0345439244', '0425163407', '044023722X', '0446605484', '0446610100', '0452282829']"
4017,"new orleans, louisiana, usa",48.0,Middle-aged,16,"['0002251760', '0060005424', '0060507365', '0060517794', '0060924837', '0060925493', '0060930934', '0060953691', '0061054887', '0061092827']","['0971880107', '0316666343', '0385504209', '0142001740', '0671027360', '0060928336', '0786868716', '0440214041', '0312195516', '0446672211']","['006000438X', '0060517794', '0060930187', '006093090X', '0064401774', '0140042598', '0140070206', '0140244824', '0140268863', '015600710X']"
4049,"poringland, england, united kingdom",65.0,Senior,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0385504209', '0316666343', '044023722X', '0671027360', '0440234743', '0446607657', '0385510438', '1400031354', '1400034779']",['0201050714']
4066,"birmingham, alabama, usa",31.0,Young Adult,3,"['0020427859', '0020518706', '0060007788', '0060198702', '0060263857', '0060578955', '0060675187', '006091646X', '0060917016', '0060925000']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['0060809833', '0060830956', '0066214769', '0140062718', '0156027321', '0316779237', '0345300203', '0373790899', '0373790945', '0380978857']"
4090,"haskell, new jersey, usa",,Unknown,24,"['0060173289', '0060185074', '0060256737', '0060392991', '0060512822', '0060809779', '0060812508', '0060923288', '0060924799', '0060924845']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0061020362', '0156007479', '0380789019', '0385335482', '0451457595', '0553579525', '0671027360', '0140386645', '0316601950', '0399141464']"
4091,"estill springs, tennessee, usa",77.0,Senior,3,"['0020427859', '0020518706', '0060007788', '0060198702', '0060263857', '0060578955', '0060675187', '006091646X', '0060917016', '0060925000']","['0971880107', '0385504209', '0316666343', '044023722X', '0671027360', '0440234743', '0446607657', '0385510438', '1400031354', '1400034779']","['0399148515', '0445406518', '0449219461', '0671027387', '0451210220', '0312995423', '0399152288']"
4092,"hixson, tennessee, usa",27.0,Young Adult,0,"['006018552X', '0060185708', '0060193611', '0060198303', '0060256672', '0060508302', '0060531231', '0060801263', '0060809248', '006092411X']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['0345301293', '0671027360', '0671441981', '0812575237', '0451176464', '076534128X', '0061006629', '0061032425', '0140440488', '0345279255']"
4098,"mei foo, kowloon, hong kong",30.0,Young Adult,20,"['0006550576', '0020418809', '0044409494', '0060002077', '0060012897', '006001315X', '0060391480', '0060514949', '0060525460', '0060549270']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['0385504209', '0553380168', '006098726X', '0671027360', '0060977337', '0312995423', '0553278223']"
4114,"augsburg, bayern, germany",,Unknown,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['3404148665', '3499224615', '0441172717', '3404143744', '3442435838', '0812575717', '3404142942', '0061012165', '0449149986', '0553572423']"
4131,"hemel hempstead, england, united kingdom",51.0,Middle-aged,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0142001740', '0671027360', '0060928336', '0786868716', '0440214041', '0312195516', '0446672211']","['0590660543', '0375803483', '0380728133', '0743421922', '0971880107', '0140050000', '014027944X', '0140440488', '0330332775', '0373226322']"
4138,"austin, texas, usa",20.0,Young Adult,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['0345339681', '0380720191', '0553574574', '0385335482', '0060085452', '0060096195', '0060199652', '0060921056', '0062502182', '0064401480']"
4144,"winnipeg, manitoba, canada",31.0,Young Adult,10,"['0020449313', '0060256737', '0060294671', '0060391839', '0060921056', '0060976977', '0061053716', '0061097667', '0062508113', '0064400085']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['0064440044', '0064440508', '0064461629', '0066238501', '0140430113', '0312925883', '0345313755', '0345335406', '0345425294', '0345453743']"
4149,"highland, utah, usa",,Unknown,3,"['0020427859', '0020518706', '0060007788', '0060198702', '0060263857', '0060578955', '0060675187', '006091646X', '0060917016', '0060925000']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0066214122', '0385508417', '0842329129', '0399142282', '0446516570']"
4157,"birmingham, alabama, usa",39.0,Middle-aged,14,"['0002251760', '0044409494', '0060008024', '0060099089', '0060248025', '0060256672', '0060562250', '0061093327', '0064440044', '0140042520']","['0971880107', '0316666343', '0385504209', '0142001740', '0671027360', '0060928336', '0786868716', '0440214041', '0312195516', '0446672211']","['0060809833', '0060830956', '0066214769', '0140062718', '0156027321', '0316779237', '0345300203', '0373790899', '0373790945', '0380978857']"
4164,"anchorage, alaska, usa",,Unknown,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0060934417', '0061009059', '0312971346', '0312976275', '0380792737', '0380816555', '0385504209', '039592720X', '043936213X', '0440501601']"
4179,"fairbanks, alaska, usa",18.0,Teenager,3,"['0020427859', '0020518706', '0060007788', '0060198702', '0060263857', '0060578955', '0060675187', '006091646X', '0060917016', '0060925000']","['0971880107', '059035342X', '043935806X', '0439136369', '0439064872', '0439139597', '0446310786', '0439064864', '0439136350', '0446608955']","['0060248025', '0060256672', '0060256737', '0060392452', '0061006629', '0061020702', '0061020710', '0064402754', '0140143505', '0141301120']"
4197,"anchorage, alaska, usa",61.0,Senior,3,"['0020427859', '0020518706', '0060007788', '0060198702', '0060263857', '0060578955', '0060675187', '006091646X', '0060917016', '0060925000']","['0971880107', '0385504209', '0316666343', '044023722X', '0671027360', '0440234743', '0446607657', '0385510438', '1400031354', '1400034779']","['0060934417', '0061009059', '0312971346', '0312976275', '0380792737', '0380816555', '0385504209', '039592720X', '043936213X', '0440501601']"
4221,"n/a, connecticut, usa",,Unknown,0,"['006018552X', '0060185708', '0060193611', '0060198303', '0060256672', '0060508302', '0060531231', '0060801263', '0060809248', '006092411X']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0373250193', '0060086246', '0385510438', '0440241413', '1558743669', '0061010707', '0373250126', '0373250223', '0451410947', '0440131480']"
4223,"oldenburg, niedersachsen, germany",28.0,Young Adult,3,"['0020427859', '0020518706', '0060007788', '0060198702', '0060263857', '0060578955', '0060675187', '006091646X', '0060917016', '0060925000']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['3257227809', '3442413338', '3442433495', '0552998001', '0671004530', '3442092981', '0140620109', '0590112899', '0590660543', '0670033332']"
4228,"austin, texas, usa",41.0,Middle-aged,10,"['0020449313', '0060256737', '0060294671', '0060391839', '0060921056', '0060976977', '0061053716', '0061097667', '0062508113', '0064400085']","['0971880107', '0316666343', '0385504209', '0142001740', '0671027360', '0060928336', '0786868716', '0440214041', '0312195516', '0446672211']","['0345339681', '0380720191', '0553574574', '0385335482', '0060085452', '0060096195', '0060199652', '0060921056', '0062502182', '0064401480']"
4285,"adrian, michigan, usa",50.0,Middle-aged,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0142001740', '0671027360', '0060928336', '0786868716', '0440214041', '0312195516', '0446672211']","['0399145923', '0425058603', '0425076717', '0441585558', '0449211479', '0449221873', '0451142934', '0671606840', '0671660187', '0671722069']"
4334,"rome, lazio, italy",38.0,Middle-aged,3,"['0020427859', '0020518706', '0060007788', '0060198702', '0060263857', '0060578955', '0060675187', '006091646X', '0060917016', '0060925000']","['0971880107', '0316666343', '0385504209', '0142001740', '0671027360', '0060928336', '0786868716', '0440214041', '0312195516', '0446672211']","['0451137965', '0451149513', '0571200435', '0380816555', '0451099648', '0451177096', '0060392452', '0140178724', '0316666343', '0316780375']"
4365,"victoria, british columbia, canada",19.0,Teenager,6,"['0007154615', '0044409494', '0060097469', '0060256672', '0060256737', '0060392991', '0060652934', '0060809248', '0060922249', '0060927240']","['0971880107', '059035342X', '043935806X', '0439136369', '0439064872', '0439139597', '0446310786', '0439064864', '0439136350', '0446608955']","['156341029X', '0062502182', '0066238501', '014004387X', '0140094385', '014044100X', '0312243022', '0312966555', '0345314255', '0345413369']"
4370,"kingston, ontario, canada",46.0,Middle-aged,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0142001740', '0671027360', '0060928336', '0786868716', '0440214041', '0312195516', '0446672211']","['0440505941', '0446310786', '044651652X', '0517595753', '0671504398', '068484477X', '1853260681', '0345440781', '0375705856', '0679746692']"
4385,"albq, new mexico, usa",33.0,Young Adult,0,"['006018552X', '0060185708', '0060193611', '0060198303', '0060256672', '0060508302', '0060531231', '0060801263', '0060809248', '006092411X']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['037329011X', '0373706448', '0373710291', '0440221471', '0441007147', '0446356859', '0446356875', '0446360511', '0446360708', '0446360732']"
4401,"boston, massachusetts, usa",28.0,Young Adult,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['0060928336', '0140086838', '014016930X', '0252006860', '0312873115', '0345342968', '0345404475', '0375503315', '0375703861', '0380788624']"
4420,"balgach, st.gallen, switzerland",24.0,Young Adult,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']",['0449219143']
4483,"aldergrove, british columbia, canada",,Unknown,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0061097101', '0375706771', '0393318680', '044651652X', '0553256696', '0805421351', '0891075275', '0345441133', '044022473X', '044922046X']"
